n,true,quad,mc,qmc,bq,sbq_uni,sbq_uni_m12,sbq_uni_m32,sbq_uni_m52,sbq_gauss,sbq_gauss_m12,sbq_gauss_m32,sbq_gauss_m52
10.0,0.0,0.13184506410191105,7.1449806330206895,0.1270709741966296,0.14259021847781725,0.1681855035563357,1.1073115590214557,0.17317559434786303,0.15052070322172,0.14432585570728976,1.2333608923752504,0.14423116911797712,0.12760062656016327
20.0,0.0,0.1006573618854028,3.597494120142155,0.17033031894407807,0.15949303988237246,0.17817214310898127,0.42105520781152106,0.1995436812288508,0.16913088361129522,0.1623807777683601,0.4116230916442328,0.18712005669502424,0.16455597355220383
30.0,0.0,0.1315588063006294,3.472411039436347,0.10935179874429714,0.11065341394219358,0.1416323119370609,0.22700257334987498,0.1297543521541185,0.11960930692490604,0.1197835378618412,0.24414678033825374,0.11703193608749618,0.10959503463219106
40.0,0.0,0.07596271709967402,2.681882484907114,0.06041595799284272,0.05805168100852245,0.07224159690407404,0.12415938281726692,0.05399257602252068,0.05711203034440759,0.05938374014793162,0.12249605675834377,0.05343828285166968,0.053711391766257735
50.0,0.0,0.08559562256652783,2.5136290396872045,0.05512114317197742,0.05439082005823283,0.05782150342903744,0.06586560004491682,0.04773722393442803,0.05424528521811722,0.05323148055375069,0.06040335046043486,0.04600614420465602,0.05475154379403914
60.0,0.0,0.06909881680318575,2.937200796664639,0.042078962152619824,0.04555687684723805,0.04939044320913707,0.0469708651226379,0.03610441507763359,0.04531408287222995,0.04517558600238263,0.04390115305643599,0.0422819586044415,0.046356486200430376
70.0,0.0,0.07414126013197118,2.5912303346501266,0.03868278935069386,0.04191296232310083,0.03849581734806603,0.04975493653339729,0.040634276894415705,0.04053164378552895,0.04010480780332908,0.04546597480388429,0.04396210382438785,0.04103169552026238
80.0,0.0,0.09670168714683725,1.2815913016028015,0.040828030101934296,0.042747127054807856,0.04484181813328145,0.03881943482222145,0.03992894966470152,0.04052145219069018,0.039505564671502874,0.038377016816161756,0.03782778144846043,0.037865540951150085
90.0,0.0,0.044348445949372775,2.0481878904306074,0.039755846907375554,0.039720903886530705,0.04316529330161687,0.03936956836765124,0.03908905649852243,0.039455203924019064,0.040258230909601206,0.03938328146503448,0.03906172049565577,0.04073668226188253
100.0,0.0,0.06269017476374544,1.4316184162400196,0.044252391437327135,0.0432042601150219,0.04686294872291034,0.04386715516227473,0.04502879771116742,0.046053676968510926,0.04451667265278668,0.04179592667501912,0.043963180790676834,0.04590372194695745
