n,quad,mc,qmc,bq,gbq_uni,gbq_uni_m12,gbq_uni_m32,gbq_uni_m52,gbq_gauss,gbq_gauss_m12,gbq_gauss_m32,gbq_gauss_m52
10.0,11.835148872169208,23.937331390590963,33.54488056158859,33.320075871776154,36.080131724297964,51.45243580045873,41.49802971666777,38.30120020091349,33.260975312292544,48.49844789531642,38.11468207852498,34.99351078743214
25.0,10.563621564583075,16.836540770513952,27.005348796591015,18.26428395530099,20.73685479441998,35.75656145064449,25.680750792870395,22.245318015235874,17.95673808663449,32.51314420402625,22.169270024776296,18.94813591420626
50.0,11.69662479186609,7.576311028617302,22.35188455617428,15.148821775051317,17.61177099705389,25.377406377513942,19.883168613003505,18.351269553301737,14.869918397538791,22.123510751533036,16.69360930344771,15.350048262390311
100.0,9.789244304785635,5.894497360612807,4.621329166075394,1.7107298422715747,2.9809622763323538,26.368730265654403,10.953950820109327,6.146962283705874,2.0588775014324896,19.91551828671771,5.525274238591013,1.8075503095845047
200.0,8.451144696240902,4.809568920831943,8.06906967360992,2.239776278090325,5.873460443226087,21.61611432310025,10.713558559456088,8.12443153044231,2.1703500632264188,15.734411057981102,5.5791518383001835,3.794292482950432
300.0,10.22800019383995,6.243035920645403,5.498020211303453,0.5867258832646516,2.560019911062272,11.20125684039667,5.564595528743267,3.865765672881752,0.6189621852759721,6.3470885871707745,2.0737407613236383,1.235672980316812
400.0,9.889200645802942,3.9845768821387173,3.2252678077737813,1.1104619886706106,1.3606090316399477,7.990180573887815,3.0909574744424213,1.9989714219484633,1.6955250038011211,3.1103174192297285,0.7932977438158336,1.3552978428582458
500.0,8.91848946370985,4.167352836204816,0.7973737420634283,3.3673428624837527,0.9283675701670815,4.621937603898948,0.9896676753230734,0.5760154026759902,4.283248733010116,1.4034774797248224,3.5482784339723232,3.7999484818863225
600.0,8.28572051715673,3.218064892669895,0.6877244595705438,2.6305782592358895,0.27126043972426184,4.282504385312471,1.0048872646245588,0.40759666715843756,3.182010924111373,1.9753432064682888,2.591310009214097,2.9074811512399625
700.0,8.521552917301019,3.925452970554253,2.8003066776290817,1.0268922040088693,1.381239009593595,6.7087122616545445,2.2133431097444065,1.7941688194751717,1.306043065615669,2.4747537903848587,0.854980316089977,1.029049508395213
800.0,8.91091711554932,2.9951223620992202,2.6946193489289896,0.7814368895678019,1.6885101414342578,6.861049811817904,2.5270341658846425,2.00438821273604,1.1463358815317783,2.7253693001870642,0.8872543313132706,0.9822432047245087
900.0,8.569989718109857,3.575107557978319,3.08279294407728,0.4823529604582231,1.9914855129902391,7.3468028768383915,2.920021665557275,2.302188734067499,0.9222235486958793,3.094192634272658,0.48372785443648664,0.7428109009774927
1000.0,8.631665301534955,3.2372465684342187,2.6490987390054874,0.3822989612788987,1.8059130484076156,6.209994192352244,2.5622579215163634,2.016796270824,0.8862723078245713,2.5659297695837116,0.5258811537033601,0.7695101384379316
